,geometry,site_id,name,id,code,type
41,POINT Z (106.84884135633001 -6.490683386764935 161.60552732925862),23101,Cibinong,23101S003,CIDB,DORIS
42,POINT Z (79.8741990340851 6.892077743033057 -76.85565872304142),23501,Colombo,23501S001,COLA,DORIS
43,POINT Z (27.70754179912412 -25.887106341797132 1562.896628553979),30302,Hartebeesthoek,30302S005,HBLA,DORIS
44,POINT Z (27.707462551031444 -25.88685177957577 1559.4246999016032),30302,Hartebeesthoek,30302S006,HBKB,DORIS
45,POINT Z (27.707462601244636 -25.886851786040236 1559.6032531792298),30302,Hartebeesthoek,30302S008,HBMB,DORIS
46,POINT Z (27.707539662756304 -25.88710098565375 1562.539953126572),30302,Hartebeesthoek,30302S202,HBKA,DORIS
47,POINT Z (37.85699860083167 -46.878904793391165 91.95541482325643),30313,Marion Island (,30313S001,MARA,DORIS
48,POINT Z (37.8569983705621 -46.878904801912064 92.18661092687398),30313,Marion Island (,30313S002,MARB,DORIS
49,POINT Z (37.85699842660129 -46.87890485609748 92.195492121391),30313,Marion Island (,30313S003,MATB,DORIS
50,POINT Z (37.856998268205565 -46.87890470205076 92.19015712663531),30313,Marion Island (,30313S005,MAUB,DORIS
51,POINT Z (-14.332329147933477 -7.916257805390135 38.45874359458685),30602,Ascension III,30602S004,ASDB,DORIS
52,POINT Z (-14.332640254601802 -7.916194048012498 38.545265573076904),30602,Ascension III,30602S005,ASEB,DORIS
53,POINT Z (-12.312520928656705 -37.06527457101183 48.52939242310822),30604,tristan Da Cunh,30604S001,TRIA,DORIS
54,POINT Z (-12.312484728641376 -37.06527733105519 46.46606351900846),30604,tristan Da Cunh,30604S002,TRIB,DORIS
55,POINT Z (-12.312400681433024 -37.06511493091985 46.93136506713927),30604,tristan Da Cunh,30604S003,TRJB,DORIS
56,POINT Z (-5.667419188976304 -15.942220020785479 455.8671650066972),30606,Saint-Helena,30606S002,HELA,DORIS
57,POINT Z (-5.667363739012859 -15.942353252067182 453.98926849197596),30606,Saint-Helena,30606S003,HELB,DORIS
58,POINT Z (-5.667363893985331 -15.942353272760245 453.9845284707844),30606,Saint-Helena,30606S004,HEMB,DORIS
59,POINT Z (-31.127872489331207 39.4551313004497 78.71035912912339),31901,Flores,31901S001,FLOA,DORIS
60,POINT Z (-25.16711767683094 36.976503984528364 157.66794121824205),31903,Santa Maria,31903S001,SAMB,DORIS
61,POINT Z (-25.662830603823757 37.74773900845565 110.13243694137782),31906,Ponta Delgada (,31906S001,PDLB,DORIS
62,POINT Z (-25.662830624665535 37.74773899671138 110.13885774370283),31906,Ponta Delgada (,31906S002,PDMB,DORIS
63,POINT Z (-25.662830686024343 37.74773898319199 110.13017822708935),31906,Ponta Delgada (,31906S003,PDNC,DORIS
64,POINT Z (-25.662830724276223 37.747738971618354 110.13053065165877),31906,Ponta Delgada (,31906S004,PDOC,DORIS
65,POINT Z (9.672121426440842 0.3540382242898092 34.28531973157078),32809,LIBREVILLE,32809S002,LIBA,DORIS
66,POINT Z (9.672121439065362 0.3540382246788379 34.52111225295812),32809,LIBREVILLE,32809S003,LIBB,DORIS
67,POINT Z (9.672141988136769 0.3540032874157545 33.77843028586358),32809,LIBREVILLE,32809S004,LICB,DORIS
68,POINT Z (7.358606492404424 18.782225231203103 455.0936559792608),33710,Arlit,33710S002,ARMA,DORIS
69,POINT Z (-17.43334978867846 14.7319204468858 44.59580787550658),34101,Dakar,34101S004,DAKA,DORIS
70,POINT Z (-22.934985944785726 16.73213179664616 91.89712891727686),39601,Palmeira - Cape,39601S002,SALB,DORIS
71,POINT Z (-22.93496310005905 16.732172159946717 92.58382979314774),39601,Palmeira - Cape,39601S003,SAPC,DORIS
72,POINT Z (-22.934963093051465 16.732172149394376 92.58076747134328),39601,Palmeira - Cape,39601S004,SAQC,DORIS
73,POINT Z (-22.93496309135575 16.73217216104001 92.58481670636684),39601,Palmeira - Cape,39601S005,SARC,DORIS
74,POINT Z (55.530873995696396 -4.67882272241467 -36.052275605499744),39801,Mahe Island,39801S005,MAHB,DORIS
75,POINT Z (55.530506644438155 -4.678818340343615 -36.47449964378029),39801,Mahe Island,39801S006,MAIB,DORIS
76,POINT Z (42.84665855766246 11.52632511248666 716.0250707892701),39901,Observatoire Ge,39901S002,DJIA,DORIS
77,POINT Z (42.846517481111555 11.526151019599459 716.6029981067404),39901,Observatoire Ge,39901S003,DJIB,DORIS
78,POINT Z (-52.67807072342801 47.59532637968819 152.9634619038552),40101,ST JOHN'S,40101S002,STJB,DORIS
79,POINT Z (-52.678070873382715 47.595326335818235 153.28847439028323),40101,ST JOHN'S,40101S003,STKB,DORIS
80,POINT Z (-52.67807056952633 47.595326273715365 153.2936970582232),40101,ST JOHN'S,40101S004,STKC,DORIS
81,POINT Z (-75.70591335265807 45.399827127333474 111.33841794077307),40102,Ontario - Ottaw,40102S010,OTTA,DORIS
82,POINT Z (-75.70591244723576 45.3998274530861 111.559728926979),40102,Ontario - Ottaw,40102S011,OTTB,DORIS
83,POINT Z (-114.48011177982158 62.48093329440833 186.48261550348252),40127,Yellowknife,40127S007,YELA,DORIS
84,POINT Z (-114.4798640410926 62.48109413216933 182.06615641713142),40127,Yellowknife,40127S008,YELB,DORIS
85,POINT Z (-114.4798640112309 62.48109415463457 182.2161725787446),40127,Yellowknife,40127S009,YEMB,DORIS
86,POINT Z (-116.7918968887507 35.24836584114112 1041.0534986238927),40405,GOLDSTONE,40405S005,GOMA,DORIS
87,POINT Z (-116.89173897789023 35.331516851690665 897.9289676230401),40405,GOLDSTONE,40405S035,GOLA,DORIS
88,POINT Z (-116.79189680890624 35.248365897515534 1041.1203673426062),40405,GOLDSTONE,40405S037,GOMB,DORIS
89,POINT Z (-116.79171124199571 35.24756061840578 1043.8494821731001),40405,GOLDSTONE,40405S043,GONC,DORIS
90,POINT Z (-147.51246478843655 64.97172054541747 350.6718534408137),40408,FAIRBANKS,40408S004,FAIA,DORIS
91,POINT Z (-147.51757807592082 64.97230856900906 339.6215583719313),40408,FAIRBANKS,40408S005,FAIB,DORIS
92,POINT Z (-159.66536957214066 22.123137740707772 1165.7264821566641),40424,Kauai,40424S008,KOKA,DORIS
93,POINT Z (-159.66543975583764 22.123060690578043 1166.9748095553368),40424,Kauai,40424S009,KOLB,DORIS
94,POINT Z (-76.82789945608731 39.020070443592395 20.407002710737288),40451,Washington,40451S176,GREB,DORIS
95,POINT Z (-76.82789948405255 39.02007041904324 20.73216123599559),40451,Washington,40451S178,GRFB,DORIS
96,POINT Z (-116.42237109232852 32.89185609093063 1842.9549350440502),40497,Monument Peak,40497S008,MONB,DORIS
97,POINT Z (-116.42237114762634 32.89185611501096 1843.3572089141235),40497,Monument Peak,40497S009,MOOB,DORIS
98,POINT Z (-80.38895928666525 25.6237476996478 -18.53796071279794),40499,RICHMOND,40499S016,RIDA,DORIS
99,POINT Z (-110.9519760069566 18.72774135798601 16.861126760952175),40503,Socorro Island,40503S003,SODA,DORIS
100,POINT Z (-110.9519766449659 18.727742991334907 16.931759545579553),40503,Socorro Island,40503S004,SODB,DORIS
101,POINT Z (-110.95445402050159 18.72799116165683 13.523372420109808),40503,Socorro Island,40503S005,SOEB,DORIS
102,POINT Z (-110.95445413239317 18.727991075947045 13.518030459992588),40503,Socorro Island,40503S006,SOFC,DORIS
103,POINT Z (-86.24857807049955 12.149771615581134 77.74575376790017),41201,Managua,41201S002,MNAC,DORIS
104,POINT Z (-67.75188212529567 -53.785814932201404 34.20550471264869),41507,Rio Grande,41507S003,RIOA,DORIS
105,POINT Z (-67.75179874747568 -53.78584183498827 34.58506919257343),41507,Rio Grande,41507S004,RIOB,DORIS
106,POINT Z (-67.75105913813718 -53.785835688391984 33.12858179863542),41507,Rio Grande,41507S005,RIPB,DORIS
107,POINT Z (-67.75105912881327 -53.785835655913594 33.513596922159195),41507,Rio Grande,41507S006,RIQB,DORIS
108,POINT Z (-67.75105903083757 -53.785835657238756 33.51881852094084),41507,Rio Grande,41507S007,RIRB,DORIS
109,POINT Z (-67.75105902828452 -53.78583571110114 33.522732853889465),41507,Rio Grande,41507S008,RISC,DORIS
110,POINT Z (-68.62307243780388 -31.50841101640278 725.7841193424538),41508,San Juan,41508S004,SJUC,DORIS
111,POINT Z (-45.00198366655632 -22.68274629900228 571.0120128747076),41609,Cachoeira Pauli,41609S001,CACB,DORIS
112,POINT Z (-45.00243996564648 -22.68230188533986 567.1010270323604),41609,Cachoeira Pauli,41609S002,CADB,DORIS
113,POINT Z (-109.38365135472911 -27.147861103691564 120.094976243563),41703,Easter Island,41703S008,EASA,DORIS
114,POINT Z (-109.38353184658635 -27.14792025517501 118.29948915541172),41703,Easter Island,41703S009,EASB,DORIS
115,POINT Z (-70.53693020411339 -33.395794012858424 895.00057645794),41705,Santiago,41705S007,SANA,DORIS
116,POINT Z (-70.66862486122518 -33.14963379287481 724.5253605227917),41705,Santiago,41705S008,SAOB,DORIS
117,POINT Z (-70.66862530061539 -33.149633988559856 724.5257762027904),41705,Santiago,41705S009,SANB,DORIS
118,POINT Z (-69.90481357290138 -20.222018124582807 1134.194386035204),41708,Iquique,41708S001,IQUB,DORIS
119,POINT Z (-89.61621159279038 -0.900700896579803 5.301779898814857),42004,Puerto Baqueriz,42004S001,GALA,DORIS
120,POINT Z (-90.30436826500096 -0.7423750723777625 6.7352160811424255),42005,Santa Cruz,42005S001,SCRB,DORIS
121,POINT Z (-90.30436830513202 -0.7423751503218131 6.741552100516856),42005,Santa Cruz,42005S002,SCRC,DORIS
122,POINT Z (-71.49307721235975 -16.465736163928582 2493.669501445256),42202,Arequipa,42202S005,AREA,DORIS
123,POINT Z (-71.49300036818457 -16.46577276990249 2490.7886971207336),42202,Arequipa,42202S006,AREB,DORIS
124,POINT Z (-71.49300032970837 -16.465772790336946 2490.9211068218574),42202,Arequipa,42202S007,ARFB,DORIS
125,POINT Z (-68.82364993112446 76.53748691158434 40.174475946463645),43001,Thule,43001S005,THUB,DORIS
126,POINT Z (-162.70696660568393 55.1902172595451 50.40392706356943),49804,Cold Bay - Alas,49804S004,COBB,DORIS
127,POINT Z (-80.16310748303258 25.732783869543688 -12.142114331945777),49914,Virginia Key -,49914S003,MIAB,DORIS
128,POINT Z (148.93951938619543 -35.63650678759323 1348.2510177772492),50103,Tidbinbilla,50103S201,ORRA,DORIS
129,POINT Z (148.93951933533236 -35.63650677368253 1348.4663384770975),50103,Tidbinbilla,50103S202,ORRB,DORIS
130,POINT Z (115.34667562575846 -29.046356841102003 243.37039528787136),50107,Yarragadee,50107S006,YARA,DORIS
131,POINT Z (115.34667606720785 -29.04635653204014 243.6285697221756),50107,Yarragadee,50107S010,YARB,DORIS
132,POINT Z (115.34676765551096 -29.046158457186777 243.04954655840993),50107,Yarragadee,50107S011,YASB,DORIS
133,POINT Z (149.00994886202162 -35.31610497321322 803.3505903612822),50119,Mount Stromlo,50119S002,MSOB,DORIS
134,POINT Z (149.0099822066479 -35.31610066847671 804.9087553340942),50119,Mount Stromlo,50119S004,MSPB,DORIS
135,POINT Z (-176.56640477621656 -43.95616124038962 60.50099990796298),50207,Chatham Island,50207S001,CHAB,DORIS
136,POINT Z (-176.36848356771716 -44.025141377857345 23.842064169235528),50253,Owenga (Chatham,50253S001,OWEC,DORIS
137,POINT Z (-176.3688806567628 -44.02434762455996 23.713757649064064),50253,Owenga (Chatham,50253S002,OWFC,DORIS
138,POINT Z (172.92293150604016 1.3547414881805329 36.751704073511064),50305,BETIO ISLAND -,50305S001,BETB,DORIS
139,POINT Z (144.9140161013214 13.539733602089953 290.90447872597724),50501,GUAM,50501S001,GUAB,DORIS
140,POINT Z (147.1858258980291 -9.436133883496089 151.06379694212228),51001,Port Moresby,51001S001,MORA,DORIS
141,POINT Z (147.18657571168055 -9.434010028141502 118.30133575666696),51001,Port Moresby,51001S002,MORB,DORIS
142,POINT Z (147.18657559262405 -9.434009835777157 118.68074111267924),51001,Port Moresby,51001S003,MOSB,DORIS
143,POINT Z (39.57879849126838 -69.00488842361045 46.52317632175982),66006,Syowa,66006S001,SYOB,DORIS
144,POINT Z (39.578544161548734 -69.00487000395505 42.95732218492776),66006,Syowa,66006S003,SYPB,DORIS
145,POINT Z (39.578544774334 -69.00487001582297 42.91086350847036),66006,Syowa,66006S005,SYQB,DORIS
146,POINT Z (-68.12438163529276 -67.5693282451936 26.95013534091413),66007,Rothera,66007S001,ROTA,DORIS
147,POINT Z (-68.1273567361772 -67.57139044821015 35.183500106446445),66007,Rothera,66007S002,ROTB,DORIS
148,POINT Z (-68.1273566455719 -67.57139042906759 35.34168009273708),66007,Rothera,66007S003,ROUB,DORIS
149,POINT Z (-68.12735661585607 -67.57139047318917 35.54303389135748),66007,Rothera,66007S004,ROVB,DORIS
150,POINT Z (-68.12735675387594 -67.57139040589274 35.54775461181998),66007,Rothera,66007S005,ROWC,DORIS
151,POINT Z (-68.12547045163367 -67.57113116276226 36.07513384427875),66007,Rothera,66007S006,ROXC,DORIS
152,POINT Z (-34.62801493847021 -77.87398781813066 242.67047581262887),66018,Belgrano,66018S001,BELB,DORIS
153,POINT Z (-34.62556142497922 -77.87447507442803 240.77942242193967),66018,Belgrano,66018S002,BEMB,DORIS
154,POINT Z (144.80262373872156 13.43301458314537 136.81240566261113),82301,USGS of Guam,82301S001,MLAC,DORIS
155,POINT Z (70.26270288822492 -49.35208585072833 62.39858030155301),91201,Kerguelen,91201S002,KERA,DORIS
156,POINT Z (70.26270260223183 -49.3520856643351 62.64373289514333),91201,Kerguelen,91201S003,KERB,DORIS
157,POINT Z (70.25547137649406 -49.35169772670605 74.34891108330339),91201,Kerguelen,91201S004,KESB,DORIS
158,POINT Z (70.2554713501375 -49.35169766819266 74.66304339841008),91201,Kerguelen,91201S005,KETB,DORIS
159,POINT Z (70.25547117914306 -49.351697612739734 74.65634464100003),91201,Kerguelen,91201S006,KEUC,DORIS
160,POINT Z (70.25547123215162 -49.35169759768088 74.66450440697372),91201,Kerguelen,91201S007,KEVC,DORIS
161,POINT Z (70.2554713532859 -49.351697537708525 74.66574982833117),91201,Kerguelen,91201S008,KEWC,DORIS
162,POINT Z (51.85558570206748 -46.43183020687411 203.18488004151732),91301,ILE DE LA POSSE,91301S001,CROB,DORIS
163,POINT Z (51.85558570395817 -46.43183020404446 203.33492636773735),91301,ILE DE LA POSSE,91301S002,CRPB,DORIS
164,POINT Z (51.855585719829996 -46.43183015186087 203.5401531709358),91301,ILE DE LA POSSE,91301S003,CRQB,DORIS
165,POINT Z (51.855586074894994 -46.43183019322584 203.5465444009751),91301,ILE DE LA POSSE,91301S004,CRQC,DORIS
166,POINT Z (77.57140602945081 -37.798438098579275 62.264899301342666),91401,Amsterdam,91401S001,AMSA,DORIS
167,POINT Z (77.57135506249347 -37.79859758596341 58.49522595573217),91401,Amsterdam,91401S003,AMTB,DORIS
168,POINT Z (77.57135506577157 -37.798597582578516 58.64712468907237),91401,Amsterdam,91401S004,AMUB,DORIS
169,POINT Z (77.57135500484615 -37.7985975761826 58.832739354111254),91401,Amsterdam,91401S005,AMVB,DORIS
170,POINT Z (140.0014435104678 -66.66267418420752 0.8475359538570046),91501,Ile des Petrels,91501S001,ADEA,DORIS
171,POINT Z (140.00203605491058 -66.66519197357114 -1.0291324369609356),91501,Ile des Petrels,91501S002,ADEB,DORIS
172,POINT Z (140.00203608086917 -66.66519200111244 -0.6210720762610435),91501,Ile des Petrels,91501S003,ADFB,DORIS
173,POINT Z (140.0020359872165 -66.6651919261523 -0.6254162415862083),91501,Ile des Petrels,91501S004,ADGB,DORIS
174,POINT Z (140.00203596601207 -66.66519192752119 -0.6369174374267459),91501,Ile des Petrels,91501S005,ADHC,DORIS
175,POINT Z (-149.6095742572741 -17.576505342807405 75.06535540428013),92201,Papeete (Tahiti,92201S007,PAPB,DORIS
176,POINT Z (-149.60639793002161 -17.577032498930436 99.46362903062254),92201,Papeete (Tahiti,92201S008,PAQB,DORIS
177,POINT Z (-149.6063978845656 -17.577032470093137 99.46145220287144),92201,Papeete (Tahiti,92201S010,PATB,DORIS
178,POINT Z (-151.04124185891533 -16.733508515852407 47.02149477414787),92202,Huahine (Motu H,92202S009,HUAA,DORIS
179,POINT Z (-134.96492308055633 -23.130256684167765 82.21309752762318),92301,Rikitea (Ile Ma,92301S002,RIKB,DORIS
180,POINT Z (-134.96492304191202 -23.130256834059708 82.22311296127737),92301,Rikitea (Ile Ma,92301S003,RILB,DORIS
181,POINT Z (-134.96492303915224 -23.130256840529196 82.22372676804662),92301,Rikitea (Ile Ma,92301S004,RIMB,DORIS
182,POINT Z (-144.3348356987935 -27.61835338169288 2.145059627480805),92403,Rapa,92403S001,RAQB,DORIS
183,POINT Z (166.4103984893159 -22.269464676026413 85.18539061024785),92701,Noumea,92701S001,NOUA,DORIS
184,POINT Z (166.41006093859258 -22.269834155921554 83.06194273754954),92701,Noumea,92701S002,NOUB,DORIS
185,POINT Z (166.48489736302614 -22.228430410517642 159.75397451315075),92701,Noumea,92701S003,NOWB,DORIS
186,POINT Z (166.48489738291107 -22.22843037176549 160.11366865038872),92701,Noumea,92701S004,NOXB,DORIS
187,POINT Z (167.24019453619363 -20.777093991333672 93.98543310072273),92722,WANAHAM/ILE LIF,92722S001,LIFB,DORIS
188,POINT Z (169.28026616089988 -19.54010418777517 159.92891106940806),92802,TANNA,92802S001,TANB,DORIS
189,POINT Z (-176.17947544577893 -13.265765790075317 158.87432966195047),92901,Wallis,92901S001,WALA,DORIS
190,POINT Z (-178.12100131559745 -14.3077849279693 85.12734062597156),92902,Futuna,92902S001,FUTB,DORIS
191,POINT Z (-178.12100134525642 -14.307784967997788 85.73272269126028),92902,Futuna,92902S003,FUUB,DORIS
192,POINT Z (-60.99606892417831 14.595009671595118 -29.468219108879566),97205,Lamentin Airpor,97205S001,LAOB,DORIS
193,POINT Z (-52.639781076533914 5.098628844422682 109.69562640506774),97301,KOUROU,97301S004,KRUB,DORIS
194,POINT Z (-52.63979071698364 5.0986167059782295 109.72733636014163),97301,KOUROU,97301S006,KRWB,DORIS
195,POINT Z (55.57177007252926 -21.20836102204521 1561.912499270402),97401,La Reunion,97401S001,REUA,DORIS
196,POINT Z (55.57177012891571 -21.208361309227687 1561.0891633741558),97401,La Reunion,97401S002,REUB,DORIS
197,POINT Z (55.571761280510806 -21.208986814577433 1561.1438304269686),97401,La Reunion,97401S003,REUC,DORIS
198,POINT Z (2.33494104636281 48.83592139809482 122.58673285227269),10001,Paris,10001S006,OPMT,GNSS
199,POINT Z (2.3349741582223515 48.83590541149232 124.58322179038078),10001,Paris,10001S007,OP71,GNSS
200,POINT Z (6.920575718572273 43.75473921290615 1319.3033537482843),10002,Grasse (OCA),10002M006,GRAS,GNSS
201,POINT Z (6.920769027558275 43.75449121674478 1319.8584192404523),10002,Grasse (OCA),10002M010,GRAC,GNSS
202,POINT Z (1.4807625101587398 43.56077472029336 207.09634654596448),10003,Toulouse,10003M004,TOUL,GNSS
203,POINT Z (1.4808928391721505 43.56069617279205 207.18445165734738),10003,Toulouse,10003M009,TLSE,GNSS
204,POINT Z (1.4850422047644585 43.54971292423458 208.74784083850682),10003,Toulouse,10003M034,TLSG,GNSS
205,POINT Z (-4.496592391619885 48.38049510663987 65.82489314768463),10004,Brest,10004M004,BRST,GNSS
206,POINT Z (-4.411817679315109 48.444605172648146 154.6854731440544),10004,Brest,10004M501,GUIP,GNSS
207,POINT Z (7.299977837037297 43.725500471692264 427.3315141554922),10012,Nice,10012M001,NICE,GNSS
208,POINT Z (7.227263783939453 43.70326558227828 256.4910852247849),10012,Nice,10012M002,NICA,GNSS
209,POINT Z (7.639905098994019 48.54936148556989 204.26976983528584),10014,Strasbourg,10014M002,ENTZ,GNSS
210,POINT Z (2.3447543887793967 50.993655543052476 56.76709779910743),10017,Malo-les-Bains-,10017M002,DGLG,GNSS
211,POINT Z (-1.2193143651700589 46.15894375282266 57.85308985412121),10023,La Rochelle,10023M001,LROC,GNSS
212,POINT Z (1.7196763452672816 47.294196422308126 153.24736850522459),10046,Villefranche-su,10046M001,VFCH,GNSS
213,POINT Z (-1.7779582353234478 49.58066296070777 188.63749307300895),10055,Flottemanville,10055M004,HEAU,GNSS
214,POINT Z (-1.8057859619412746 46.5300307238921 56.74389674235135),10063,Sables d Olonne,10063M001,SABL,GNSS
215,POINT Z (-3.5079788334983073 47.648009248329835 93.24073832668364),10064,Pen Men - Groix,10064M001,GROI,GNSS
216,POINT Z (5.3537897492142905 43.27877122071786 61.80169246252626),10073,Marseille,10073M008,MARS,GNSS
217,POINT Z (-1.536909235074641 43.47196499288167 121.39116336591542),10074,Biarritz,10074M002,BIAZ,GNSS
218,POINT Z (8.762617178153613 41.927458825358165 98.78619614429772),10077,Ajaccio,10077M005,AJAC,GNSS
219,POINT Z (3.1367047163277757 42.51532463246037 108.16753201279789),10079,Port-Vendres,10079M001,BEAR,GNSS
220,POINT Z (3.1367047991654724 42.51532466287395 108.16325510758907),10079,Port-Vendres,10079S001,BEA2,GNSS
221,POINT Z (-1.2488301510306605 44.64595567518565 106.2077467283234),10087,Cap Ferret,10087M001,FERR,GNSS
222,POINT Z (-1.6816764055253253 43.39523622884285 59.46405737474561),10088,Ciboure (Saint-,10088M002,SCOA,GNSS
223,POINT Z (7.015727771432928 43.55458303791716 89.84431812819093),10089,Cannes - La Boc,10089M001,CNNS,GNSS
224,POINT Z (7.015723752581606 43.554572054142945 91.0655916146934),10089,Cannes - La Boc,10089M003,CANE,GNSS
225,POINT Z (4.67657795775134 45.87908589803924 432.4124980038032),10090,Saint-Jean-des-,10090M001,SJDV,GNSS
226,POINT Z (12.500026964881652 55.739020844592744 94.03374235890806),10101,Copenhaguen,10101M003,BUDP,GNSS
227,POINT Z (9.742159589466793 56.84176085330774 120.73290229123086),10113,Suldrup,10113M001,SULD,GNSS
228,POINT Z (9.559308884692024 55.64064689645641 122.82508055213839),10114,Smidstrup,10114M001,SMID,GNSS
229,POINT Z (-6.783522194145926 61.99737158383167 110.24518094863743),10117,Thorshavn,10117M002,ARGI,GNSS
230,POINT Z (14.839341603469984 55.24842661474723 41.61249592900276),10124,Tejn Havn,10124M001,TEJH,GNSS
231,POINT Z (9.986260354697084 54.99363824109754 45.9859333448112),10126,Fynshav,10126M001,FYHA,GNSS
232,POINT Z (-21.955487302082858 64.13878583177694 93.04830684140325),10202,Reykjavik,10202M001,REYK,GNSS
233,POINT Z (-21.955477531659263 64.13879513386755 93.05204631015658),10202,Reykjavik,10202M003,REYZ,GNSS
234,POINT Z (-15.19791818239193 64.26729344248214 82.71878172177821),10204,Hofn,10204M002,HOFN,GNSS
235,POINT Z (18.93833297538508 69.66275012061257 132.46323358733207),10302,Tromso,10302M003,TROM,GNSS
236,POINT Z (18.93965049820503 69.66271950964412 138.11681554373354),10302,Tromso,10302M006,TRO1,GNSS
237,POINT Z (10.367760148921302 59.73658826386352 221.59289577044547),10307,OSLO,10307M001,OSLS,GNSS
238,POINT Z (11.865091559460545 78.92958604623945 78.50482455547899),10317,Ny-Alesund,10317M001,NYAL,GNSS
