,geometry_type,site_id,id,title,thumbnail,url,filename,orbitNumber,ron,orbit,platform,geometry
11,Polygon,10002,4f48287e-70d9-5579-b240-b3c7bf602e1e,S2A_MSIL2A_20220111T102411_N0301_R065_T32TLP_20220111T131516.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/01/11/S2A_MSIL2A_20220111T102411_N0301_R065_T32TLP_20220111T131516.SAFE/S2A_MSIL2A_20220111T102411_N0301_R065_T32TLP_20220111T131516-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/4f48287e-70d9-5579-b240-b3c7bf602e1e,/eodata/Sentinel-2/MSI/L2A/2022/01/11/S2A_MSIL2A_20220111T102411_N0301_R065_T32TLP_20220111T131516.SAFE,34239,65,DESCENDING,S2A,"POLYGON ((6.5350389414582 43.280179974922, 6.5367723231367 43.238262553327, 7.8886830141923 43.259391910537, 7.8702372867615 44.247830683969, 6.8525751308641 44.231638732806, 6.8513352494362 44.228039441501, 6.8015003223158 44.081506314153, 6.7527324549351 43.934687238954, 6.7033945700663 43.788044950936, 6.6536248543403 43.641572953857, 6.6045211249247 43.494974765935, 6.5567243866248 43.348067377514, 6.5350389414582 43.280179974922))"
12,Polygon,10002,4df106ad-02c2-557f-843f-8188dd53acf1,S2B_MSIL2A_20220116T102249_N0301_R065_T32TLP_20220116T123439.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/01/16/S2B_MSIL2A_20220116T102249_N0301_R065_T32TLP_20220116T123439.SAFE/S2B_MSIL2A_20220116T102249_N0301_R065_T32TLP_20220116T123439-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/4df106ad-02c2-557f-843f-8188dd53acf1,/eodata/Sentinel-2/MSI/L2A/2022/01/16/S2B_MSIL2A_20220116T102249_N0301_R065_T32TLP_20220116T123439.SAFE,25402,65,DESCENDING,S2B,"POLYGON ((6.535071074583 43.279402917131, 6.5367723231367 43.238262553327, 7.8886830141923 43.259391910537, 7.8702372867615 44.247830683969, 6.8534439925141 44.231652557203, 6.8069800291886 44.098374555759, 6.7567402052687 43.951942728381, 6.7093064052555 43.804798114487, 6.6599129491905 43.658301451575, 6.6103654513947 43.511910317356, 6.562969806297 43.364960799049, 6.535071074583 43.279402917131))"
13,Polygon,10002,09e9fba9-cbb0-5369-9382-7f426e276dc7,S2B_MSIL1C_20220126T102209_N0400_R065_T32TLP_20220126T111012.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/01/26/S2B_MSIL1C_20220126T102209_N0400_R065_T32TLP_20220126T111012.SAFE/S2B_MSIL1C_20220126T102209_N0400_R065_T32TLP_20220126T111012-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/09e9fba9-cbb0-5369-9382-7f426e276dc7,/eodata/Sentinel-2/MSI/L1C/2022/01/26/S2B_MSIL1C_20220126T102209_N0400_R065_T32TLP_20220126T111012.SAFE,25545,65,DESCENDING,S2B,"POLYGON ((6.5355575315924 43.26763919319, 6.5367723231367 43.238262553327, 7.8886830141923 43.259391910537, 7.8702372867615 44.247830683969, 6.8569745572263 44.23170873177, 6.8158817805525 44.117022027291, 6.7665240881732 43.970538237571, 6.7201363353365 43.823251641738, 6.6709409776119 43.676767213937, 6.6218474942085 43.530223506801, 6.5739236357382 43.383347262082, 6.5355575315924 43.26763919319))"
14,Polygon,10002,7c789494-2685-5318-b17f-11efac71f13d,S2A_MSIL2A_20220213T103131_N0400_R108_T32TLP_20220213T152822.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/02/13/S2A_MSIL2A_20220213T103131_N0400_R108_T32TLP_20220213T152822.SAFE/S2A_MSIL2A_20220213T103131_N0400_R108_T32TLP_20220213T152822-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/7c789494-2685-5318-b17f-11efac71f13d,/eodata/Sentinel-2/MSI/L2A/2022/02/13/S2A_MSIL2A_20220213T103131_N0400_R108_T32TLP_20220213T152822.SAFE,34711,108,DESCENDING,S2A,"POLYGON ((7.8832454204615 43.550772583803, 7.8702372867615 44.247830683969, 6.4959285929038 44.225964154763, 6.5367723231367 43.238262553327, 7.7681496956344 43.25750806454, 7.8183809292229 43.386104525885, 7.8757939524563 43.531981783155, 7.8832454204615 43.550772583803))"
15,Polygon,10002,3847d120-534d-5c71-a774-7e0cb204267c,S2A_MSIL2A_20220220T102051_N0400_R065_T32TLP_20220220T152532.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/02/20/S2A_MSIL2A_20220220T102051_N0400_R065_T32TLP_20220220T152532.SAFE/S2A_MSIL2A_20220220T102051_N0400_R065_T32TLP_20220220T152532-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/3847d120-534d-5c71-a774-7e0cb204267c,/eodata/Sentinel-2/MSI/L2A/2022/02/20/S2A_MSIL2A_20220220T102051_N0400_R065_T32TLP_20220220T152532.SAFE,34811,65,DESCENDING,S2A,"POLYGON ((6.5349071255746 43.283367606381, 6.5367723231367 43.238262553327, 7.8886830141923 43.259391910537, 7.8702372867615 44.247830683969, 6.8527392188345 44.231641343598, 6.8056246597097 44.095520356918, 6.7555442311101 43.948998939236, 6.7076907596372 43.801825881588, 6.6577240516806 43.655258223899, 6.6078535425854 43.5087374798, 6.5604835759568 43.361691918011, 6.5349071255746 43.283367606381))"
16,Polygon,10002,67b7d181-f868-477a-848a-6da0e0847a95,S2B_MSIL2A_20220109T103319_N0500_R108_T32TLP_20230206T111240.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A_N0500/2022/01/09/S2B_MSIL2A_20220109T103319_N0500_R108_T32TLP_20230206T111240.SAFE/S2B_MSIL2A_20220109T103319_N0500_R108_T32TLP_20230206T111240-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/67b7d181-f868-477a-848a-6da0e0847a95,/eodata/Sentinel-2/MSI/L2A_N0500/2022/01/09/S2B_MSIL2A_20220109T103319_N0500_R108_T32TLP_20230206T111240.SAFE,25302,108,,S2B,"POLYGON ((7.882931929 43.567571431, 7.835566976 43.447446815, 7.829769464 43.432765303, 7.823633241 43.417058681, 7.773087733 43.287914573, 7.761246159 43.257400167, 6.536772323 43.238262553, 6.495928593 44.225964155, 7.870237287 44.247830684, 7.882931929 43.567571431))"
17,Polygon,10002,31c5de1b-6d1a-57a7-bb82-450d81be5633,S2B_MSIL1C_20220208T103109_N0400_R108_T32TLP_20220208T125524.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/02/08/S2B_MSIL1C_20220208T103109_N0400_R108_T32TLP_20220208T125524.SAFE/S2B_MSIL1C_20220208T103109_N0400_R108_T32TLP_20220208T125524-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/31c5de1b-6d1a-57a7-bb82-450d81be5633,/eodata/Sentinel-2/MSI/L1C/2022/02/08/S2B_MSIL1C_20220208T103109_N0400_R108_T32TLP_20220208T125524.SAFE,25731,108,DESCENDING,S2B,"POLYGON ((7.8830005491714 43.563894336716, 7.8702372867615 44.247830683969, 6.4959285929038 44.225964154763, 6.5367723231367 43.238262553327, 7.7633188170171 43.257432561505, 7.8082638720952 43.372635141713, 7.8651847495192 43.518378839227, 7.8830005491714 43.563894336716))"
18,Polygon,10002,0960dd80-ff7a-54bf-bb7b-f7883f283db9,S2B_MSIL2A_20220218T102949_N0400_R108_T32TLP_20220218T143251.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/02/18/S2B_MSIL2A_20220218T102949_N0400_R108_T32TLP_20220218T143251.SAFE/S2B_MSIL2A_20220218T102949_N0400_R108_T32TLP_20220218T143251-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/0960dd80-ff7a-54bf-bb7b-f7883f283db9,/eodata/Sentinel-2/MSI/L2A/2022/02/18/S2B_MSIL2A_20220218T102949_N0400_R108_T32TLP_20220218T143251.SAFE,25874,108,DESCENDING,S2B,"POLYGON ((7.8833469847318 43.545330127652, 7.8702372867615 44.247830683969, 6.4959285929038 44.225964154763, 6.5367723231367 43.238262553327, 7.7705583245179 43.257545709616, 7.8179570936507 43.378873776506, 7.8752218890333 43.524683768907, 7.8833469847318 43.545330127652))"
19,Polygon,10002,5e34b9fa-f55e-5a2f-8391-9f3c49a76e24,S2A_MSIL1C_20220223T103031_N0400_R108_T32TLP_20220223T142535.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/02/23/S2A_MSIL1C_20220223T103031_N0400_R108_T32TLP_20220223T142535.SAFE/S2A_MSIL1C_20220223T103031_N0400_R108_T32TLP_20220223T142535-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/5e34b9fa-f55e-5a2f-8391-9f3c49a76e24,/eodata/Sentinel-2/MSI/L1C/2022/02/23/S2A_MSIL1C_20220223T103031_N0400_R108_T32TLP_20220223T142535.SAFE,34854,108,DESCENDING,S2A,"POLYGON ((7.8828158434906 43.573792035641, 7.8702372867615 44.247830683969, 6.4959285929038 44.225964154763, 6.5367723231367 43.238262553327, 7.7593896153801 43.25737115101, 7.807231287823 43.380822730165, 7.8641990950147 43.526538137106, 7.8828158434906 43.573792035641))"
20,Polygon,10003,8d2cb599-666f-56f0-a625-6a2f712e8dff,S2B_MSIL2A_20220125T105229_N0400_R051_T31TCJ_20220125T151458.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/01/25/S2B_MSIL2A_20220125T105229_N0400_R051_T31TCJ_20220125T151458.SAFE/S2B_MSIL2A_20220125T105229_N0400_R051_T31TCJ_20220125T151458-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/8d2cb599-666f-56f0-a625-6a2f712e8dff,/eodata/Sentinel-2/MSI/L2A/2022/01/25/S2B_MSIL2A_20220125T105229_N0400_R051_T31TCJ_20220125T151458.SAFE,25531,51,DESCENDING,S2B,"POLYGON ((0.49592859290379 44.225964154763, 0.53677232313667 43.238262553327, 1.8886830141923 43.259391910537, 1.8702372867615 44.247830683969, 0.49592859290379 44.225964154763))"
21,Polygon,10003,8029a510-58d1-4d28-965f-5cbd22956408,S2B_MSIL2A_20220115T105309_N0500_R051_T31TCJ_20230202T042857.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A_N0500/2022/01/15/S2B_MSIL2A_20220115T105309_N0500_R051_T31TCJ_20230202T042857.SAFE/S2B_MSIL2A_20220115T105309_N0500_R051_T31TCJ_20230202T042857-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/8029a510-58d1-4d28-965f-5cbd22956408,/eodata/Sentinel-2/MSI/L2A_N0500/2022/01/15/S2B_MSIL2A_20220115T105309_N0500_R051_T31TCJ_20230202T042857.SAFE,25388,51,,S2B,"POLYGON ((0.495928593 44.225964155, 1.870237287 44.247830684, 1.888683014 43.259391911, 0.536772323 43.238262553, 0.495928593 44.225964155))"
22,Polygon,10003,122226e9-8172-535f-a933-effded889de0,S2A_MSIL1C_20220209T105211_N0400_R051_T31TCJ_20220209T144919.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C/2022/02/09/S2A_MSIL1C_20220209T105211_N0400_R051_T31TCJ_20220209T144919.SAFE/S2A_MSIL1C_20220209T105211_N0400_R051_T31TCJ_20220209T144919-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/122226e9-8172-535f-a933-effded889de0,/eodata/Sentinel-2/MSI/L1C/2022/02/09/S2A_MSIL1C_20220209T105211_N0400_R051_T31TCJ_20220209T144919.SAFE,34654,51,DESCENDING,S2A,"POLYGON ((0.49592859290379 44.225964154763, 0.53677232313667 43.238262553327, 1.8886830141923 43.259391910537, 1.8702372867615 44.247830683969, 0.49592859290379 44.225964154763))"
23,Polygon,10003,e6568fcb-4cad-5787-8f53-63decff7bcb2,S2A_MSIL2A_20220209T105211_N0400_R051_T31TCJ_20220209T155525.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/02/09/S2A_MSIL2A_20220209T105211_N0400_R051_T31TCJ_20220209T155525.SAFE/S2A_MSIL2A_20220209T105211_N0400_R051_T31TCJ_20220209T155525-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/e6568fcb-4cad-5787-8f53-63decff7bcb2,/eodata/Sentinel-2/MSI/L2A/2022/02/09/S2A_MSIL2A_20220209T105211_N0400_R051_T31TCJ_20220209T155525.SAFE,34654,51,DESCENDING,S2A,"POLYGON ((0.49592859290379 44.225964154763, 0.53677232313667 43.238262553327, 1.8886830141923 43.259391910537, 1.8702372867615 44.247830683969, 0.49592859290379 44.225964154763))"
24,Polygon,10003,c1c112a5-7943-491f-b01b-892fa1cbc86a,S2B_MSIL1C_20220115T105309_N0510_R051_T31TCJ_20240430T000608.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L1C_N0500/2022/01/15/S2B_MSIL1C_20220115T105309_N0510_R051_T31TCJ_20240430T000608.SAFE/S2B_MSIL1C_20220115T105309_N0510_R051_T31TCJ_20240430T000608-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/c1c112a5-7943-491f-b01b-892fa1cbc86a,/eodata/Sentinel-2/MSI/L1C_N0500/2022/01/15/S2B_MSIL1C_20220115T105309_N0510_R051_T31TCJ_20240430T000608.SAFE,25388,51,,S2B,"POLYGON ((0.495928592903789 44.22596415476343, 0.536772323136669 43.23826255332707, 1.888683014192297 43.25939191053712, 1.870237286761489 44.24783068396879, 0.495928592903789 44.22596415476343))"
25,Polygon,10003,9c222338-d24d-4ae3-b96c-7c88fab5cbb3,S2B_MSIL2A_20220115T105309_N0510_R051_T31TCJ_20240430T031120.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A_N0500/2022/01/15/S2B_MSIL2A_20220115T105309_N0510_R051_T31TCJ_20240430T031120.SAFE/S2B_MSIL2A_20220115T105309_N0510_R051_T31TCJ_20240430T031120-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/9c222338-d24d-4ae3-b96c-7c88fab5cbb3,/eodata/Sentinel-2/MSI/L2A_N0500/2022/01/15/S2B_MSIL2A_20220115T105309_N0510_R051_T31TCJ_20240430T031120.SAFE,25388,51,,S2B,"POLYGON ((0.495928592903789 44.22596415476343, 0.536772323136669 43.23826255332707, 1.888683014192297 43.25939191053712, 1.870237286761489 44.24783068396879, 0.495928592903789 44.22596415476343))"
26,Polygon,10003,81ebf064-9a6a-5025-bec0-c8c6de17520e,S2B_MSIL2A_20220922T104649_N0400_R051_T31TCJ_20220922T133521.SAFE,https://catalogue.dataspace.copernicus.eu/get-object?path=/Sentinel-2/MSI/L2A/2022/09/22/S2B_MSIL2A_20220922T104649_N0400_R051_T31TCJ_20220922T133521.SAFE/S2B_MSIL2A_20220922T104649_N0400_R051_T31TCJ_20220922T133521-ql.jpg,https://catalogue.dataspace.copernicus.eu/download/81ebf064-9a6a-5025-bec0-c8c6de17520e,/eodata/Sentinel-2/MSI/L2A/2022/09/22/S2B_MSIL2A_20220922T104649_N0400_R051_T31TCJ_20220922T133521.SAFE,28963,51,DESCENDING,S2B,"POLYGON ((0.49592859290379 44.225964154763, 0.53677232313667 43.238262553327, 1.8886830141923 43.259391910537, 1.8702372867615 44.247830683969, 0.49592859290379 44.225964154763))"
